id,title,collection,volume,source_volume_url,local_text_path,original_text_link,story_dynasty,story_type_primary,story_type_secondary,female_centrality,female_perspective,female_figures,female_agency,ending_type,moral_evaluation,feminist_angles,evidence_keywords,confidence,text_char_count
xzby-v08-003,韓六三事,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-003/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-003/source.txt,未明,鬼魂/冥府,,边缘,男性凝视主导,妻妾/已婚女性,中,悲剧/消散,弱评价/异闻观照,女性欲望与婚恋自主|婚姻/婚配制度|家庭暴力与虐待|父权家族/宗法,鬼|魂|城隍|殺|死|妻,高,1101
xzby-v08-004,鬼買缺,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-004/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-004/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,无明显女性主义切口,鬼|死,低,355
xzby-v08-005,溫將軍,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-005/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-005/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,女性欲望与婚恋自主|家庭暴力与虐待|父权家族/宗法,鬼|魂|城隍|溺,中,643
xzby-v08-006,鬼請吸煙,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-006/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-006/source.txt,清,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,礼教惩戒,女性欲望与婚恋自主|婚姻/婚配制度,鬼,低,510
xzby-v08-007,李生遇狐,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-007/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-007/source.txt,未明,狐魅叙事,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,婚姻/婚配制度|女性欲望与婚恋自主|父权家族/宗法,狐|婿,中,438
xzby-v08-008,仙童行雨,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-008/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-008/source.txt,未明,仙神/龙女,,无,无明显女性视角,无显著女性形象,无,报应惩戒,因果报应,父权家族/宗法,救,低,448
xzby-v08-009,金能退鬼,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-009/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-009/source.txt,清,鬼魂/冥府,妖怪/精魅,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,无明显女性主义切口,鬼,低,214
xzby-v08-010,秀結宜男,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-010/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-010/source.txt,未明,妖怪/精魅,术法/道术,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,妻妾/婢妾与阶层|家庭暴力与虐待|父权家族/宗法|男性凝视与欲望投射,殺,中,329
xzby-v08-011,黑眚畏鹽,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-011/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-011/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,无明显女性主义切口,,低,257
xzby-v08-012,僵屍挾人棗核可治,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-012/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-012/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,无明显女性主义切口,死,低,130
xzby-v08-013,量童子,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-013/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-013/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度,妻,低,127
xzby-v08-014,靈符,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-014/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-014/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,女性欲望与婚恋自主|婚姻/婚配制度,死,低,348
xzby-v08-015,吞舟魚,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-015/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-015/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,无明显女性主义切口,死,低,114
xzby-v08-016,雞毛煙死蛇,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-016/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-016/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,无明显女性主义切口,死,低,120
xzby-v08-017,蛇箝,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-017/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-017/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,照护劳动/生育责任,,低,154
xzby-v08-018,番僧化鶴,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-018/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-018/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,女性欲望与婚恋自主,救,低,252
xzby-v08-019,謝珍格物,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-019/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-019/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,父权家族/宗法,,低,317
xzby-v08-020,煙龍,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-020/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-020/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,无明显女性主义切口,,低,225
xzby-v08-021,形交氣交,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-021/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-021/source.txt,未明,杂志异闻,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,家庭暴力与虐待,溺,低,180
xzby-v08-022,蜜虎,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-022/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-022/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,照护劳动/生育责任,,低,292
xzby-v08-023,滇南靈草,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-023/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-023/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,照护劳动/生育责任,,低,143
xzby-v08-024,羊乳鹿,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-024/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-024/source.txt,未明,杂志异闻,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,照护劳动/生育责任,,低,73
xzby-v08-025,多角獸,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-025/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-025/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,照护劳动/生育责任,死,低,203
xzby-v08-026,江中黃袱,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-026/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-026/source.txt,未明,杂志异闻,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,家庭暴力与虐待|父权家族/宗法,溺,低,187
xzby-v08-027,水乩,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-027/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-027/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,无明显女性主义切口,,低,114
xzby-v08-028,九尾蛇,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-028/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-028/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,无明显女性主义切口,死,低,242
xzby-v08-029,蠍虎遺精,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-029/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-029/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,惊悚收束,礼教惩戒,父权家族/宗法,,低,206
xzby-v08-030,皖城雷異,续子不语,续子不语·卷8,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/08,stories/xzby-v08-030/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v08-030/source.txt,清,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,父权家族/宗法,逃|死,低,372
xzby-v09-001,天后繡女,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-001/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-001/source.txt,清,梦幻/异境,,关键,男性转述/旁观,无显著女性形象,低,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|父权家族/宗法|妻妾/婢妾与阶层|照护劳动/生育责任,女|死|妾,中,332
xzby-v09-002,桃源女神,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-002/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-002/source.txt,清,仙神/龙女,,关键,男性转述/旁观,神女/仙女/龙女,低,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|妻妾/婢妾与阶层|父权家族/宗法,女|死|嫁|神女/仙女/龙女,高,380
xzby-v09-003,安慶府學狐,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-003/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-003/source.txt,清,狐魅叙事,,无,无明显女性视角,无显著女性形象,无,超脱成仙,弱评价/异闻观照,婚姻/婚配制度|女性欲望与婚恋自主,狐|刃|拒|妻,中,530
xzby-v09-004,湖南貢院鬼,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-004/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-004/source.txt,清,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,无明显女性主义切口,鬼,低,290
xzby-v09-005,雷異二則,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-005/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-005/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,无明显女性主义切口,死,低,302
xzby-v09-006,人變魚,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-006/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-006/source.txt,未明,伦理/报应,,边缘,男性凝视主导,妻妾/已婚女性,低,报应惩戒,因果报应,婚姻/婚配制度|照护劳动/生育责任|男性凝视与欲望投射,妻,中,221
xzby-v09-007,韓昌黎稱老相公,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-007/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-007/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,父权家族/宗法|婚姻/婚配制度,妻,低,317
xzby-v09-008,急淫自縊,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-008/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-008/source.txt,未明,仙神/龙女,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,礼教惩戒,家庭暴力与虐待|女性欲望与婚恋自主|婚姻/婚配制度|父权家族/宗法,縊|死|妻,中,347
xzby-v09-009,照海鏡,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-009/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-009/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,无明显女性主义切口,,低,136
xzby-v09-010,穀佛,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-010/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-010/source.txt,未明,杂志异闻,,无,无明显女性视角,无显著女性形象,无,超脱成仙,弱评价/异闻观照,无明显女性主义切口,,低,232
xzby-v09-011,丹徒異獄,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-011/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-011/source.txt,未明,公案/申冤,,无,无明显女性视角,无显著女性形象,无,报应惩戒,因果报应,婚姻/婚配制度|家庭暴力与虐待|父权家族/宗法,殺,中,233
xzby-v09-012,鬼怕討債,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-012/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-012/source.txt,秦汉,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,礼教惩戒,无明显女性主义切口,鬼|詬|死,低,186
xzby-v09-013,蘭渚山北來大仙,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-013/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-013/source.txt,未明,仙神/龙女,,无,无明显女性视角,无显著女性形象,无,超脱成仙,弱评价/异闻观照,婚姻/婚配制度|神怪作为女性出口,死,低,505
xzby-v09-014,吃腎囊中舉,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-014/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-014/source.txt,清,梦幻/异境,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,无明显女性主义切口,,低,157
xzby-v09-015,楊老爺召穩婆收生,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-015/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-015/source.txt,未明,仙神/龙女,,核心,男性转述/旁观,巫妪/婆子,中,报应惩戒,因果报应,照护劳动/生育责任|妻妾/婢妾与阶层|婚姻/婚配制度|家庭暴力与虐待,婆|救|逼,高,300
xzby-v09-016,溺壺失節,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-016/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-016/source.txt,未明,杂志异闻,,边缘,男性转述/旁观,妻妾/已婚女性,低,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|家庭暴力与虐待|妻妾/婢妾与阶层|贞节规训,溺|妻|妾|節,高,110
xzby-v09-017,三虎索命,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-017/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-017/source.txt,清,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,报应惩戒,因果报应,女性复仇/申冤|婚姻/婚配制度|照护劳动/生育责任|家庭暴力与虐待,報仇|索命|殺|死|嫁|妻,高,241
xzby-v09-018,梁相國解夢,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-018/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-018/source.txt,未明,梦幻/异境,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,女性欲望与婚恋自主,死,低,185
xzby-v09-019,齋猴,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-019/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-019/source.txt,未明,伦理/报应,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,妻妾/婢妾与阶层,,低,187
xzby-v09-020,狗熊寫字,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-020/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-020/source.txt,清,伦理/报应,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,家庭暴力与虐待|男性凝视与欲望投射,殺,低,380
xzby-v09-021,雷屑,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-021/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-021/source.txt,清,术法/道术,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,家庭暴力与虐待,逼,低,317
xzby-v09-022,牛瀵水,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-022/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-022/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|家庭暴力与虐待|照护劳动/生育责任,死,中,475
xzby-v09-023,陰陽山,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-023/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-023/source.txt,未明,伦理/报应,妖怪/精魅,无,无明显女性视角,无显著女性形象,无,悲剧/消散,礼教惩戒,女性欲望与婚恋自主|婚姻/婚配制度|父权家族/宗法|家庭暴力与虐待,死|嫁,中,1176
xzby-v09-024,亡夫領婦到陰間見太公太婆,续子不语,续子不语·卷9,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/09,stories/xzby-v09-024/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v09-024/source.txt,清,梦幻/异境,,关键,男性转述/旁观,妻妾/已婚女性,低,异闻收束,弱评价/异闻观照,父权家族/宗法|婚姻/婚配制度|家庭暴力与虐待,婦|婆,中,383
xzby-v10-001,淫諂二罪冥責甚輕,续子不语,续子不语·卷10,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/10,stories/xzby-v10-001/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v10-001/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,报应惩戒,礼教惩戒,女性欲望与婚恋自主|父权家族/宗法|贞节规训,鬼|救|節,中,652
xzby-v10-002,人壽有定陰間不能增減,续子不语,续子不语·卷10,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/10,stories/xzby-v10-002/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v10-002/source.txt,未明,鬼魂/冥府,,边缘,女性经验可见,妻妾/已婚女性,低,悲剧/消散,弱评价/异闻观照,婚姻/婚配制度|家庭暴力与虐待|父权家族/宗法|贞节规训,鬼|城隍|縊|死|嫁|妻|節,高,625
xzby-v10-003,關帝血食秀才代享,续子不语,续子不语·卷10,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/10,stories/xzby-v10-003/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v10-003/source.txt,唐,术法/道术,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,家庭暴力与虐待,死,低,434
xzby-v10-004,惡人轉世為鱉,续子不语,续子不语·卷10,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/10,stories/xzby-v10-004/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v10-004/source.txt,未明,仙神/龙女,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,礼教惩戒,父权家族/宗法,死,低,368
xzby-v10-005,姦夫死後報仇,续子不语,续子不语·卷10,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/10,stories/xzby-v10-005/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v10-005/source.txt,未明,伦理/报应,,边缘,男性转述/旁观,妻妾/已婚女性,高,报应惩戒,因果报应,婚姻/婚配制度|女性复仇/申冤,報仇|刃|死|妻,中,266
xzby-v10-006,董刺史雪冤,续子不语,续子不语·卷10,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/10,stories/xzby-v10-006/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v10-006/source.txt,未明,杂志异闻,,无,无明显女性视角,无显著女性形象,无,伸冤昭雪,弱评价/异闻观照,家庭暴力与虐待,逼|死|歿,低,292
xzby-v10-007,劉老虎,续子不语,续子不语·卷10,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/10,stories/xzby-v10-007/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v10-007/source.txt,秦汉,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,婚恋团圆,弱评价/异闻观照,婚姻/婚配制度|家庭暴力与虐待,殺|救|死|妻,中,583
xzby-v10-008,屈丐者,续子不语,续子不语·卷10,https://zh.wikisource.org/zh-hans/%E7%BA%8C%E5%AD%90%E4%B8%8D%E8%AA%9E/10,stories/xzby-v10-008/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/xzby-v10-008/source.txt,未明,术法/道术,,无,无明显女性视角,无显著女性形象,无,伸冤昭雪,弱评价/异闻观照,父权家族/宗法|女性欲望与婚恋自主|婚姻/婚配制度,妻,中,692
